,career_bat_avg
RG Sharma,4.976608187134502
Q de Kock,7.593567251461988
SA Yadav,7.508771929824562
SS Tiwary,1.5087719298245614
HH Pandya,4.4298245614035086
KA Pollard,4.719298245614035
KH Pandya,1.6929824561403508
JL Pattinson,0.21052631578947367
RD Chahar,0.03508771929824561
TA Boult,0.0
JJ Bumrah,0.08771929824561403
Ishan Kishan,8.084795321637428
NM Coulter-Nile,0.43859649122807015
DS Kulkarni,0.05263157894736842
,career_bat_avg
M Vijay,0.5363636363636364
SR Watson,4.954545454545454
F du Plessis,7.0181818181818185
AT Rayudu,5.527272727272727
RA Jadeja,3.7363636363636363
SM Curran,2.9272727272727272
MS Dhoni,3.036363636363636
RD Gaikwad,3.6363636363636362
KM Jadhav,1.1090909090909091
N Jagadeesan,0.5909090909090909
DL Chahar,0.12727272727272726
SN Thakur,0.18181818181818182
Imran Tahir,0.23636363636363636
DJ Bravo,0.09090909090909091
,career_bat_avg
PP Shaw,3.074858757062147
S Dhawan,9.217514124293784
SO Hetmyer,2.788135593220339
SS Iyer,7.567796610169491
RR Pant,4.932203389830509
AR Patel,1.5254237288135593
MP Stoinis,4.88135593220339
R Ashwin,0.5932203389830508
A Nortje,0.11016949152542373
AM Rahane,1.7062146892655368
K Rabada,0.8983050847457628
TU Deshpande,0.3474576271186441
HV Patel,0.2542372881355932
AT Carey,0.5254237288135594
P Dubey,0.11864406779661017
DR Sams,0.0
,career_bat_avg
KL Rahul,10.981818181818182
MA Agarwal,7.051515151515153
KK Nair,0.2909090909090909
N Pooran,5.990909090909091
GJ Maxwell,1.615151515151515
SN Khan,0.5818181818181818
K Gowtham,0.7636363636363637
CJ Jordan,0.45454545454545453
Mandeep Singh,2.024242424242424
CH Gayle,4.8545454545454545
DJ Hooda,1.8545454545454545
M Ashwin,0.05454545454545454
JDS Neesham,0.33636363636363636
Ravi Bishnoi,0.12727272727272726
Mohammed Shami,0.03636363636363636
P Simran Singh,0.20909090909090908
Mujeeb Ur Rahman,0.01818181818181818
SS Cottrell,0.0
Arshdeep Singh,0.0
,career_bat_avg
Shubman Gill,7.248484848484848
RA Tripathi,3.3939393939393936
N Rana,5.318181818181818
T Banton,0.18181818181818182
KD Karthik,2.548484848484849
EJG Morgan,6.921212121212122
PJ Cummins,2.5090909090909093
Kuldeep Yadav,0.23636363636363636
LH Ferguson,0.7818181818181819
SP Narine,1.8181818181818181
AD Russell,1.6303030303030301
KL Nagarkoti,0.37272727272727274
Shivam Mavi,0.15454545454545454
CV Varun,0.16363636363636364
NS Naik,0.01818181818181818
M Prasidh Krishna,0.03636363636363636
RK Singh,0.15454545454545454
,career_bat_avg
D Padikkal,7.980392156862745
AJ Finch,4.545751633986928
Gurkeerat Singh,1.392156862745098
V Kohli,8.372549019607844
JR Philippe,1.4607843137254901
AB de Villiers,7.964052287581699
S Dube,2.2385620915032676
CH Morris,0.6078431372549019
Washington Sundar,1.8954248366013073
I Udana,0.24509803921568626
Mohammed Siraj,0.28431372549019607
Shahbaz Ahmed,0.0196078431372549
UT Yadav,0.0
NA Saini,0.49019607843137253
DW Steyn,0.0196078431372549
YS Chahal,0.00980392156862745
MM Ali,0.19607843137254902
,career_bat_avg
DA Warner,8.051724137931034
WP Saha,3.543103448275862
JM Bairstow,5.086206896551724
MK Pandey,6.833333333333333
Abdul Samad,1.5258620689655173
V Shankar,1.543103448275862
JO Holder,1.0775862068965518
PK Garg,2.005747126436782
Rashid Khan,0.5603448275862069
Sandeep Sharma,0.15517241379310345
KK Ahmed,0.0
KS Williamson,4.905172413793103
Abhishek Sharma,1.0948275862068966
S Nadeem,0.1206896551724138
T Natarajan,0.05172413793103448
B Kumar,0.0
MR Marsh,0.0
Mohammad Nabi,0.1896551724137931
SP Goswami,0.0
,career_bat_avg
YBK Jaiswal,0.66
SPD Smith,5.46
SV Samson,6.8
RV Uthappa,3.326666666666666
R Tewatia,4.763333333333334
R Parag,1.63
TK Curran,1.58
JC Archer,2.0266666666666664
JC Buttler,6.13
MK Lomror,1.0
AJ Tye,0.12
S Gopal,0.53
Kartik Tyagi,0.07
VR Aaron,0.01
JD Unadkat,0.14
AS Rajpoot,0.18
BA Stokes,5.2
