Team,Pld,Won,Lost,N/R,Net RR,Pts
Chennai Super Kings,14.0,9.0,5.0,0.0,0.3695,18.0
Delhi Capitals,14.0,5.666666666666667,8.166666666666666,0.16666666666666666,-0.34600000000000003,11.5
Gujarat Lions,14.0,6.5,7.5,0.0,-0.393,13.0
Kings XI Punjab,14.0,6.166666666666667,7.833333333333333,0.0,-0.31266666666666665,12.333333333333334
Kolkata Knight Riders,14.0,7.666666666666667,6.166666666666667,0.16666666666666666,0.2293333333333333,15.5
Mumbai Indians,14.0,7.833333333333333,6.166666666666667,0.0,0.23800000000000002,15.666666666666666
Rajasthan Royals,14.0,6.5,6.75,0.75,-0.14425,13.75
Rising Pune Supergiants,14.0,7.0,7.0,0.0,0.0955,14.0
Royal Challengers Bangalore,14.0,5.666666666666667,7.666666666666667,0.6666666666666666,-0.039333333333333366,12.0
Sunrisers Hyderabad,14.0,7.333333333333333,6.5,0.16666666666666666,0.17783333333333337,14.833333333333334
